qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Male,Male,True,1.02775715999594
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Female,Male,False,0.9072944390694646
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Male,Male,True,1.0277401199992497
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Female,Male,False,0.907277399072774
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Male,Male,True,0.7494155811384631
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Female,Male,False,0.8698783020649385
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Male,Male,True,0.6746726659502436
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Female,Male,False,0.795135386876719
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Male,Male,True,0.64220727
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Female,Male,False,0.7626699909264755
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Male,Male,True,0.627003962740956
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Female,Male,False,0.7474666836674316
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Male,Male,True,0.6219543124884737
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Female,Male,False,0.7424170334149492
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Male,Male,True,0.6142634449455022
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Female,Male,False,0.7347261658719778
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Male,Male,True,0.6159911550664423
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Female,Male,False,0.7364538759929178
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Male,Male,True,0.6143446635784018
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Female,Male,False,0.7348073845048773
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Male,Male,True,0.6148229507208569
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Female,Male,False,0.7352856716473324
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Male,Male,True,0.6113863636079848
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Female,Male,False,0.7318490845344604
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Male,Female,False,1.027769730001363
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Female,Female,True,0.9073070090748875
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Male,Female,False,1.0277401199992497
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Female,Female,True,0.907277399072774
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Male,Female,False,0.3616929266448894
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Female,Female,True,0.26546677408540204
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Male,Female,False,0.2864335219730695
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Female,Female,True,0.2101326334167061
