qkey,attribute,class_label,magnitude,n_options,ordinal_options,nonordinal_options,nonordinal_mass,top_is_nonordinal,top_mass_ge_0_9,near_uniform,low_entropy,entropy_nats,normalized_entropy,effective_options,top_mass,top_index
CARRYGUN_W26,gender,male,0.0,4,4,0,0.0,0,1,0,1,0.0003419399188046008,0.0002466575125706862,1.0003419983869226,0.9999716399997165,3
CARRYGUN_W26,gender,male,2.0,4,4,0,0.0,0,0,1,0,1.346237192868924,0.9711048610061379,3.8429380562821605,0.32427455378627235,0
CARRYGUN_W26,gender,male,4.0,4,4,0,0.0,0,0,0,0,1.301296652168081,0.9386871134041506,3.6740575550391004,0.3728573825428524,2
CARRYGUN_W26,gender,male,6.0,4,4,0,0.0,0,0,0,0,1.2756608240448586,0.920194772352923,3.5810670836036214,0.41138083,2
CARRYGUN_W26,gender,male,8.0,4,4,0,0.0,0,0,0,0,1.2612697520132765,0.9098138082264033,3.529900741565818,0.4300958415047921,2
CARRYGUN_W26,gender,male,10.0,4,4,0,0.0,0,0,0,0,1.2539074632700316,0.9045030394966673,3.5040080248555756,0.43789350189467513,2
CARRYGUN_W26,gender,male,12.0,4,4,0,0.0,0,0,0,0,1.248464599082749,0.900576842911055,3.4849879937435437,0.4447642911335004,2
CARRYGUN_W26,gender,male,14.0,4,4,0,0.0,0,0,0,0,1.24613904911918,0.8988993132111647,3.4768928964665573,0.44642493124974525,2
CARRYGUN_W26,gender,male,16.0,4,4,0,0.0,0,0,0,0,1.2412508670384197,0.8953732351877272,3.459938682315341,0.45090239549097605,2
CARRYGUN_W26,gender,male,18.0,4,4,0,0.0,0,0,0,0,1.2410798845333217,0.8952498973816353,3.459347143904754,0.4507899464763016,2
CARRYGUN_W26,gender,male,20.0,4,4,0,0.0,0,0,0,0,1.2400647587132037,0.894517638888354,3.4558372530900265,0.4527490954725091,2
CARRYGUN_W26,gender,female,0.0,4,4,0,0.0,0,1,0,1,0.0003419399188046008,0.0002466575125706862,1.0003419983869226,0.9999716399997165,3
CARRYGUN_W26,gender,female,2.0,4,4,0,0.0,0,0,0,0,0.9691894513453441,0.6991224075689116,2.635807143337893,0.6833808126647675,3
CARRYGUN_W26,gender,female,4.0,4,4,0,0.0,0,0,0,0,1.1182970052092858,0.806680771828208,3.0596392143603603,0.5804406574132197,3
CARRYGUN_W26,gender,female,6.0,4,4,0,0.0,0,0,0,0,1.153055679263026,0.8317538551708114,3.167858093603112,0.5494446309888926,3
CARRYGUN_W26,gender,female,8.0,4,4,0,0.0,0,0,0,0,1.1717976477601502,0.8452733276744605,3.2277898554942577,0.5320613187175472,3
CARRYGUN_W26,gender,female,10.0,4,4,0,0.0,0,0,0,0,1.1779588817693818,0.849717718549898,3.2477384148926416,0.5251499767604985,3
CARRYGUN_W26,gender,female,12.0,4,4,0,0.0,0,0,0,0,1.1884480657306564,0.8572840653918494,3.281983829831804,0.5156334651563347,3
CARRYGUN_W26,gender,female,14.0,4,4,0,0.0,0,0,0,0,1.1909899879735932,0.8591176746989546,3.290336989573349,0.5140551008433061,3
CARRYGUN_W26,gender,female,16.0,4,4,0,0.0,0,0,0,0,1.1957970302643957,0.8625852227360967,3.3061918556082714,0.50934792,3
CARRYGUN_W26,gender,female,18.0,4,4,0,0.0,0,0,0,0,1.1995509553875456,0.8652931073156152,3.3186263768055304,0.5058534454097412,3
CARRYGUN_W26,gender,female,20.0,4,4,0,0.0,0,0,0,0,1.2015084672875358,0.8667051536709136,3.3251289898245098,0.5031952400639048,3
CARRYGUN_W26,age,child,0.0,4,4,0,0.0,0,1,0,1,0.0003419399188046008,0.0002466575125706862,1.0003419983869226,0.9999716399997165,3
CARRYGUN_W26,age,child,2.0,4,4,0,0.0,0,0,0,0,1.2969818037868743,0.9355746082232731,3.6582387062551396,0.4261369272158922,3
CARRYGUN_W26,age,child,4.0,4,4,0,0.0,0,0,0,0,1.293584125302128,0.9331237012730338,3.6458302791708284,0.4246428430142863,3
CARRYGUN_W26,age,child,6.0,4,4,0,0.0,0,0,0,0,1.2847304931198602,0.9267371556514274,3.6136939105955856,0.43282414731296587,3
CARRYGUN_W26,age,child,8.0,4,4,0,0.0,0,0,0,0,1.278611635715464,0.9223233330348128,3.5916497441874617,0.4382389375295575,3
CARRYGUN_W26,age,child,10.0,4,4,0,0.0,0,0,0,0,1.2756181895655525,0.9201640180769901,3.580914409927756,0.4387687612246248,3
CARRYGUN_W26,age,child,12.0,4,4,0,0.0,0,0,0,0,1.2731782898215496,0.9184040024465205,3.5721879879022227,0.4401717376068695,3
CARRYGUN_W26,age,child,14.0,4,4,0,0.0,0,0,0,0,1.272225304845645,0.917716569097131,3.5687853679989847,0.440812598816252,3
CARRYGUN_W26,age,child,16.0,4,4,0,0.0,0,0,0,0,1.269887531415253,0.9160302220297566,3.560452100827432,0.4426312867210614,3
CARRYGUN_W26,age,child,18.0,4,4,0,0.0,0,0,0,0,1.270650878513561,0.9165808605663597,3.5631709992068332,0.44110015441100153,3
CARRYGUN_W26,age,child,20.0,4,4,0,0.0,0,0,0,0,1.2661621119355968,0.9133428999254911,3.5472125998743103,0.4453597067215824,3
CARRYGUN_W26,age,adolescent,0.0,4,4,0,0.0,0,1,0,1,0.0003419399188046008,0.0002466575125706862,1.0003419983869226,0.9999716399997165,3
CARRYGUN_W26,age,adolescent,2.0,4,4,0,0.0,0,0,0,0,1.2345577289930079,0.8905451566546767,3.4368581618044654,0.48116282,2
