qkey,name,ssa_sex_label,position,gender_layer_accuracy,gender_majority_prediction,gender_majority_correct,gender_mean_strength,gender_mean_confidence,age_mean_strength,age_mean_confidence,education_mean_strength,education_mean_confidence,socioeco_mean_strength,socioeco_mean_confidence
CARRYGUN_W26,Michael,male,after_name,0.5862068965517241,male,True,0.528341885862069,0.7641709431034482,0.3505473224137931,0.5129104906896551,0.5352365668965516,0.6901577113793104,0.4157700924137931,0.6105133968965518
CARRYGUN_W26,Michael,male,final_prompt,0.6206896551724138,male,True,0.49214677896551723,0.7460733899999998,0.41922221551724137,0.5644166613793103,0.481514665862069,0.6543431096551725,0.3716714172413792,0.5811142789655172
CARRYGUN_W26,Matthew,male,after_name,0.6206896551724138,male,True,0.5381335472413793,0.7690667731034481,0.3597967810344828,0.5198475858620689,0.5243594024137931,0.6829062682758621,0.41164487413793105,0.6077632489655173
CARRYGUN_W26,Matthew,male,final_prompt,0.6206896551724138,male,True,0.4945577048275862,0.7472788524137932,0.42427058137931034,0.5682029372413793,0.4801794637931034,0.6534529762068965,0.3724552686206896,0.5816368465517241
CARRYGUN_W26,Christopher,male,after_name,0.5862068965517241,male,True,0.5329762699999999,0.7664881341379312,0.35327097689655174,0.5149532331034483,0.5218583255172413,0.6812388831034483,0.41466024551724134,0.6097734968965518
CARRYGUN_W26,Christopher,male,final_prompt,0.6206896551724138,male,True,0.4988732013793104,0.7494366006896551,0.4199617944827586,0.5649713462068966,0.48334793034482754,0.6555652875862069,0.37082342827586207,0.5805489527586206
CARRYGUN_W26,Joshua,male,after_name,0.5862068965517241,male,True,0.5389328737931035,0.7694664372413792,0.3614563224137931,0.5210922406896551,0.5092948465517242,0.6728632303448275,0.39902655586206903,0.5993510368965516
CARRYGUN_W26,Joshua,male,final_prompt,0.6206896551724138,male,True,0.5007102193103448,0.7503551103448275,0.4251277717241379,0.5688458275862069,0.4840554103448276,0.6560369406896552,0.37326466620689663,0.5821764437931035
CARRYGUN_W26,Jacob,male,after_name,0.5517241379310345,male,True,0.5271706406896551,0.7635853213793106,0.3602594534482759,0.5201945906896552,0.5257306093103448,0.6838204062068965,0.4145811341379311,0.6097207562068965
CARRYGUN_W26,Jacob,male,final_prompt,0.6206896551724138,male,True,0.49271345068965516,0.7463567255172414,0.4225885324137931,0.5669413986206897,0.48166161620689657,0.6544410775862068,0.3710413217241379,0.5806942137931034
CARRYGUN_W26,Andrew,male,after_name,0.5517241379310345,male,True,0.5183760793103448,0.7591880403448277,0.34795069241379306,0.5109630186206897,0.5139892706896553,0.6759928475862068,0.4142864368965517,0.6095242910344827
